파스타,/restaurants/aE9sGHedGUlj,오스테리아샘킴,마포구,양화로3길,서울특별시 마포구 양화로3길 55지번서울시 마포구 합정동 386-37,02-324-3338,이탈리안,4.5,11:30 - 22:00,일,"흰살생선과 안초비 오일 파스타 23,000원   소꼬리 라구 딸리아텔레 23,000원   문어와 마늘종 스파게티니 25,000원   프로슈토와 루꼴라 샐러드 17,000원   멜란자네 18,000원"
파스타,/restaurants/VprIJOkj_lpN,다엔조,마포구,연희로1길,서울특별시 마포구 연희로1길 59-2지번서울시 마포구 연남동 383-99,02-336-0281,이탈리안,4.4,11:30 - 22:00,월,+ 2
파스타,/restaurants/_CsDWQgkZXoc,카밀로라자네리아,마포구,동교로12길,서울특별시 마포구 동교로12길 41지번서울시 마포구 서교동 382-13,02-332-8622,이탈리안,4.5,11:45 - 21:30,월,"에밀리아나 라자냐 15,000원   뽈로 라자냐 16,000원   마레 라자냐 17,000원   뜨리빠와 피칸테 파스타 19,000원   새우와 마늘쫑 쵸리조오일 파스타 18,000원"
파스타,/restaurants/ObDNYgbAYh_T,스쿠로,강남구,도산대로17길,서울특별시 강남구 도산대로17길 31 1F지번서울시 강남구 신사동 544-21 1F,02-511-1731,칵테일 / 와인,4.5,수-토: 18:00 - 02:00 일-화: 18:00 - 24:00,월,+ 1
파스타,/restaurants/MIGi8MXfr_,톡톡,강남구,도산대로51길,서울특별시 강남구 도산대로51길 33 리유빌딩 3F지번서울시 강남구 청담동 69-5 리유빌딩 3F,02-542-3030,이탈리안,4.6,12:00 - 22:00,월,"오늘의 로우 피쉬 34,000원   비프 타르타르 37,000원   트러플 파스타 36,000원   골든 랍스터 리조또 44,000원   안심 스테이크 (150g) 72,000원"
파스타,/restaurants/oi1D2TANmL-p,몽고네,강남구,선릉로155길,서울특별시 강남구 선릉로155길 5 승승장구빌딩 1F지번서울시 강남구 신사동 665-10 승승장구빌딩 1F,02-540-0680,이탈리안,4.4,12:00 - 22:30,"일, 월","런치 코스 42,000원   샘플러 코스 60,000원   시즌 코스 80,000원"
파스타,/restaurants/f9j9q9R01jVD,라이너스 바베큐 앤 치킨,용산구,신흥로9길,서울특별시 용산구 신흥로9길 4지번서울시 용산구 용산동2가 37-5,02-790-2930,스테이크 / 바베큐,4.4,수-금: 17:00 - 22:00 토-일: 12:00 - 22:00,"월, 화",
파스타,/restaurants/o2EtU00fFEMk,보이어,성동구,연무장길,서울특별시 성동구 연무장길 14-2 1F지번서울시 성동구 성수동1가 16-26 1F,070-4369-5994,기타 양식,4.4,12:00 - 23:00,일,+ 3
파스타,/restaurants/YnDLhi_cWfgz,바베네,송파구,백제고분로41길,서울특별시 송파구 백제고분로41길 42-11 1F지번서울시 송파구 송파동 32-3 1F,02-6397-0997,기타 양식,4.4,11:30 - 22:30,월,"새우 오일 스파게티 17,000원   라자냐 18,000원   포르치니버섯리조또 16,000원   런치파스타세트 (2인) 42,000원   런치스테이크세트 (2인) 58,000원"
파스타,/restaurants/-1yzcgbtF5,라구,용산구,신흥로,서울특별시 용산구 신흥로 42지번서울시 용산구 용산동2가 45-4,02-796-8777,기타 양식,4.5,일: 12:00 - 20:30 토: 12:00 - 22:00 화-금: 17:00 - 22:00,월,"할머니 라구 파스타 16,000원   투데이 스테이크 16,000원"
파스타,/restaurants/yYnRdrw-73XG,토파,마포구,토정로3길,서울특별시 마포구 토정로3길 5 1F지번서울시 마포구 합정동 369-3 1F,02-332-3693,이탈리안,4.8,12:00 - 22:30,화,+ 6
파스타,/restaurants/ElWYWUObt_,솔트,강남구,강남대로158길,서울특별시 강남구 강남대로158길 9지번서울시 강남구 신사동 508-12,02-540-5606,이탈리안,4.2,11:30 - 21:30,일,"가지구이와 페타치즈 19,900원   모짜렐라 치즈 카프레제 19,900원   세몰리나 오징어튀김 29,900원   피쉬앤칩스 29,900원   삼겹살구이 49,900원"
파스타,/restaurants/qOFEcVwF2B,파올로데마리아,종로구,자하문로,서울특별시 종로구 자하문로 242 부암아트홀 1F지번서울시 종로구 부암동 208-71 부암아트홀 1F,02-599-9936,이탈리안,4.4,11:30 - 22:30,월,"빠게리 파스타 26,000원   오징어먹물 까넬토니 그라탕 28,000원   깔조네 23,000원"
